Id,SalePrice
1461,127146.40359820148
1462,156325.55764300705
1463,171983.2229122253
1464,180986.01552327967
1465,196579.24086023704
1466,181485.4490878982
1467,164233.98417930095
1468,176752.8326734305
1469,181007.52877914233
1470,124166.90535152375
1471,186941.9863707376
1472,99783.01970451785
1473,97077.96060770421
1474,156960.09816517564
1475,155121.01634580354
1476,372441.156255714
1477,251944.19264948217
1478,309006.3352948395
1479,234594.00720052025
1480,452903.1278503605
1481,294406.45216917724
1482,210655.92540243815
1483,177162.79799950027
1484,182417.47613571768
1485,175773.5519713959
1486,198085.4285904912
1487,322396.5676131752
1488,244678.3647062869
1489,210587.63181426426
1490,186742.52021848856
1491,194123.00792299057
1492,94843.76936690416
1493,177986.23732451463
1494,294744.50055748184
1495,288163.1640235968
1496,218651.76037867492
1497,198845.57770686652
1498,157241.75315341758
1499,157241.75315341758
1500,140677.56510062097
1501,174759.81395338237
1502,175049.18823716688
1503,303362.01707641286
1504,240346.89872095134
1505,214509.70999976745
1506,184676.72533437298
1507,201658.45692678328
1508,190766.50281172854
1509,171485.4842641826
1510,153686.9355467281
1511,154785.86269022917
1512,161037.00091980814
1513,164797.94205645483
1514,153828.71612682383
1515,178096.47461220986
1516,163528.707399132
1517,146584.37139380284
1518,133276.10684355322
1519,220621.94783985429
1520,138333.22346135657
1521,148038.78071808218
1522,168914.61627600182
1523,113623.57455582601
1524,123131.3438372085
1525,131590.3295459306
1526,131893.90192159772
1527,102838.26816975558
1528,125943.66380648085
1529,147832.5191596577
1530,165518.27746714765
1531,136863.93339386507
1532,112382.48798504002
1533,149764.3742765179
1534,115568.6437273898
1535,149755.0245523256
1536,121461.74853372929
1537,72740.48233333541
1538,193496.5308474138
1539,240839.55534372316
1540,112444.96618965658
1541,159359.6714035955
1542,140467.05614054366
1543,216187.38984280286
1544,82416.71708112597
1545,106305.67236195563
1546,121730.38262134908
1547,141975.8803498116
1548,133743.81129248816
1549,111834.99320668851
1550,145701.1643965073
1551,115264.02598297458
1552,152531.23440664686
1553,149769.60634093743
1554,116499.99065622706
1555,165321.3755872014
1556,109527.06151127174
1557,134627.64855615512
1558,95551.72852795318
1559,119440.1505440135
1560,150536.75279816848
1561,158908.77893623017
1562,123796.43754798782
1563,124698.29229772864
1564,164508.3731900051
1565,158066.53123786344
1566,198305.34579111575
1567,84120.57724838011
1568,212367.23214958608
1569,142695.40311361948
1570,124916.44265409918
1571,136303.92817346274
1572,146200.85912512007
1573,244246.0439147448
1574,114803.56515316112
1575,198089.98121230016
1576,206237.5437672997
1577,208337.14352311034
1578,161024.88450183067
1579,135797.93626822915
1580,194338.90347881627
1581,138630.44630450406
1582,128843.5627440033
1583,315983.92920653004
1584,243645.44498582673
1585,141350.81330687876
1586,74166.84441237054
1587,109799.35825566485
1588,156296.11439205153
1589,102534.24822391663
1590,136272.4672425974
1591,114229.43871711899
1592,124642.3621261672
1593,119148.24714671042
1594,139252.52408099704
1595,121643.88591099757
1596,223492.28206979393
1597,158828.26285837934
1598,183332.7402812563
1599,242192.13001105966
1600,199101.33816666625
1601,77927.55794738764
1602,112918.01797125685
1603,104856.1212899109
1604,283715.7780382366
1605,258094.3972494625
1606,167172.85983016103
1607,173335.80858524836
1608,210767.2357563051
1609,204459.9272781978
1610,157160.55486818624
1611,150004.32398696523
1612,150827.85531237448
1613,164403.42452919393
1614,126731.67744038237
1615,94681.53353738548
1616,89467.6228842455
1617,92872.02315259668
1618,126211.34306428256
1619,128028.77579271636
1620,146853.93654127122
1621,134989.49728230337
1622,155440.62115891275
1623,284879.7868435089
1624,206860.16416979238
1625,132680.29838523234
1626,172639.4996593232
1627,180183.2435339221
1628,284624.5385411659
1629,178022.09433040454
1630,363389.6556844696
1631,214047.85012499976
1632,245593.00257672797
1633,172707.56607797896
1634,178536.65007371714
1635,179306.3841241917
1636,163900.63976246957
1637,163971.98728610855
1638,213325.35507244864
1639,175579.88766569927
1640,254666.69634831022
1641,177935.91083291286
1642,217268.51744995025
1643,232539.50753527167
1644,231657.47911661284
1645,172126.67478527088
1646,147039.96986775758
1647,162050.26591157282
1648,148986.55387044785
1649,136766.0887040005
1650,124116.55083028087
1651,121392.40090700016
1652,96907.87225314118
1653,97063.82510450437
1654,159688.71679009005
1655,162974.0027980045
1656,155271.4666836336
1657,157383.48951174485
1658,158314.6715512755
1659,153596.17242382516
1660,142036.33646675805
1661,418395.3660848921
1662,383838.11503749527
1663,393249.0394826937
1664,479461.1334975369
1665,318972.55129622674
1666,333408.6932591864
1667,350382.2269486053
1668,331141.7428827864
1669,312380.0351615699
1670,324690.19550104375
1671,264698.0367518661
1672,468887.59640244814
1673,302520.98400698253
1674,245899.95345859294
1675,177995.60852426884
1676,178634.23648676113
1677,209217.48772460004
1678,472196.0834975369
1679,374698.06692415726
1680,315639.07547296345
1681,266641.58749325573
1682,301773.1139986147
1683,192157.43526629359
1684,178818.0387010725
1685,178352.72842146415
1686,178123.01145503242
1687,172942.42735043986
1688,192527.1538994722
1689,193319.0356057662
1690,184163.72935855424
1691,177133.2809287125
1692,274832.5346727347
1693,173823.0284604241
1694,179957.76687298703
1695,173613.3350641977
1696,256146.4723315603
1697,176699.45279983373
1698,355016.7136230626
1699,307680.4320865505
1700,245161.53507385624
1701,255711.705320336
1702,254928.47718425313
1703,259072.00598226726
1704,288089.583013436
1705,246050.86744360867
1706,483956.85704582767
1707,216502.063305514
1708,214530.0900362522
1709,276998.12254339294
1710,238726.899322359
1711,286573.2827840429
1712,249966.54484859903
1713,251089.09409145036
1714,221346.76058644464
1715,199937.71132878182
1716,171361.33293656437
1717,165611.5371729629
1718,137516.12526549032
1719,206699.6888367879
1720,253264.56729044984
1721,159962.55178704337
1722,139204.48915278327
1723,151501.07086697198
1724,215695.88305129687
1725,227426.65261715732
1726,185978.3090241984
